
           0.43    0.00    0.23    0.01    0.00   99.33

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.11    0.11    0.00   99.78

           0.00    0.00    0.00    0.00    0.00  100.00

           0.66    0.00    0.00    0.00    0.00   99.34

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.11    0.00    0.00   99.89

           0.00    0.00    0.13    0.00    0.00   99.87

           0.13    0.00    0.00    0.00    0.00   99.87

           0.00    0.00    0.12    0.00    0.00   99.88

           0.00    0.00    0.15    0.00    0.00   99.85

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.13    0.00    0.13    0.00    0.00   99.74

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.11    0.00    0.00   99.89

           0.00    0.00    0.13    0.00    0.00   99.87

           0.00    0.00    0.13    0.00    0.00   99.87

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.00    0.00    0.00  100.00

           0.00    0.00    0.13    0.00    0.00   99.87

           0.00    0.00    0.00    0.00    0.00  100.00

           1.64    0.00    1.23    0.00    0.00   97.13

           7.40    0.00    6.49    0.00    0.00   86.10

          10.34    0.00    8.33    0.43    0.00   80.89

           9.05    0.00    8.44    0.00    0.00   82.52

           7.67    0.00    7.78    0.00    0.00   84.55

           9.51    0.00    8.74    0.00    0.00   81.75

           6.39    0.00    6.58    0.10    0.00   86.93

           7.97    0.00    8.44    0.12    0.00   83.47

           9.26    0.00    7.27    0.00    0.00   83.47

          12.03    0.00    8.59    0.00    0.00   79.38

          13.33    0.00    7.38    0.00    0.00   79.29

          12.06    0.00    8.89    0.00    0.00   79.05

          12.37    0.00    8.20    0.26    0.00   79.17

          12.38    0.00    6.43    0.00    0.00   81.19

          11.89    0.00    6.84    0.00    0.00   81.27

           6.22    0.00    3.53    0.00    0.00   90.25

          11.09    0.00    6.30    0.00    0.00   82.61

          11.18    0.00    7.29    0.16    0.00   81.36

           7.83    0.00    5.03    0.00    0.00   87.14

           6.16    0.00    4.78    0.00    0.00   89.06

          10.21    0.00    5.04    0.00    0.00   84.75

           7.61    0.00    4.52    0.00    0.00   87.87

           8.44    0.00    4.84    0.00    0.00   86.72

           9.22    0.00    4.36    0.00    0.00   86.43

           8.72    0.00    5.11    0.00    0.00   86.18

           8.59    0.00    5.11    0.00    0.00   86.30

           8.11    0.00    4.99    0.00    0.00   86.89

           8.36    0.00    4.87    0.00    0.00   86.77

           9.26    0.00    3.88    0.00    0.00   86.86

           8.66    0.00    4.64    0.00    0.00   86.70

           8.57    0.00    4.97    0.00    0.00   86.46

           9.31    0.00    4.28    0.00    0.00   86.42

           8.34    0.00    4.48    0.12    0.00   87.05

           8.72    0.00    4.98    0.00    0.00   86.30

           8.81    0.00    4.71    0.00    0.00   86.48

           8.46    0.00    5.22    0.00    0.00   86.32

           8.40    0.00    5.01    0.00    0.00   86.59

           8.43    0.00    5.33    0.00    0.00   86.25

           7.63    0.00    5.88    0.00    0.00   86.48

           8.97    0.00    4.73    0.00    0.00   86.30

           9.30    0.00    4.40    0.00    0.00   86.31

           8.61    0.00    5.12    0.00    0.00   86.27

           8.64    0.00    4.51    0.00    0.00   86.86

           8.97    0.00    4.98    0.00    0.00   86.05

           8.68    0.00    5.21    0.00    0.00   86.10

           8.85    0.00    4.61    0.00    0.00   86.53

           8.35    0.00    5.24    0.00    0.00   86.41

           8.16    0.00    5.40    0.00    0.00   86.45

           8.43    0.00    5.20    0.00    0.00   86.37

           8.03    0.00    5.27    0.00    0.00   86.70

           8.88    0.00    4.25    0.00    0.00   86.88

           8.71    0.00    5.10    0.00    0.00   86.19

           9.35    0.00    3.99    0.00    0.00   86.66

