19 21 17
10 21 12
4 21 18
11 8 28
12 8 27
27 8 33
19 8 31
46 10 11
9 10 46
3 10 19
34 10 73
41 10 21
36 10 12
2 10 45
5 10 52
32 10 11
39 10 22
40 10 13
42 10 722
17 10 16
11 10 18
12 10 21
18 10 16
43 10 13
4 10 27
27 10 53
19 10 58
1 10 24
48 10 30
7 10 13
34 27 22
12 27 32
2 27 58
17 27 20
3 27 26
5 27 25
9 27 79
20 27 19
18 27 23
19 27 69
41 27 28
4 27 53
11 27 48
36 27 19
1 27 31
18 20 11
5 20 13
2 20 26
11 20 38
12 20 12
4 20 18
19 46 16
4 46 17
9 46 26
18 46 10
11 46 12
28 12 32
36 12 13
33 12 2354
11 12 23
22 12 2264
3 12 20
7 12 14
16 12 16
9 12 49
18 12 16
13 12 22
1 12 25
17 12 14
46 12 2083
19 12 57
37 12 128
34 12 15
41 12 59
38 12 36
5 12 19
4 12 65
34 15 8
4 15 16
11 15 11
23 15 6
4 47 93
1 47 22
11 47 15
34 35 16
28 35 25
18 35 17
19 35 23
41 35 22
4 35 24
1 35 25
33 35 3456
11 35 19
29 35 19
36 35 13
30 19 20
48 19 81
22 19 23
41 19 53
17 19 18
34 19 19
2 19 53
42 19 31
31 19 15
9 19 36
18 19 21
28 19 101
1 19 29
5 19 23
36 19 17
3 19 24
39 19 5295
37 19 106
7 19 18
4 19 61
45 19 21
16 19 21
11 19 30
1 34 22
3 34 17
33 34 15
5 34 16
17 34 3438
36 34 10
7 34 11
9 34 93
11 34 16
16 34 14
6 34 98
4 34 21
18 34 14
10 24 50
11 24 20
27 24 25
9 23 71
4 23 26
3 23 15
11 23 24
43 32 17
4 32 17
19 32 16
36 32 6
11 22 20
33 22 19
10 22 18
4 22 24
18 22 18
47 48 16
2 48 86
11 48 20
4 48 35
36 48 15
34 48 92
27 48 85
3 9 35
11 9 77
7 9 29
41 9 69
2 9 71
18 9 31
28 9 84
30 9 30
4 9 116
29 9 33
1 9 40
11 42 27
18 42 4521
4 42 32
11 4 32
18 4 22
6 4 107
5 4 54
43 4 19
29 4 24
41 4 37
2 4 32
3 4 25
45 4 22
39 4 18
40 4 19
36 4 18
13 4 33
38 4 42
17 4 19
7 4 19
33 4 24
1 4 30
11 37 22
3 37 24
7 37 18
36 37 16
33 37 22
34 37 19
10 37 150
1 37 28
36 41 17
18 41 50
20 41 16
1 41 29
11 41 27
2 41 31
11 1 26
49 1 29
2 1 34
3 1 32
36 1 20
5 1 26
29 1 25
30 1 31
42 1 33
17 1 21
18 1 23
33 1 25
28 1 32
7 1 21
12 29 18
3 29 20
49 29 18
28 29 25
11 29 19
18 29 17
36 29 12
5 29 18
10 16 146
4 16 1537
11 16 17
3 16 18
11 7 15
36 7 9
2 7 23
5 7 15
16 7 12
30 7 1274
33 7 14
18 7 13
39 7 156
3 7 16
18 45 15
29 45 17
1 45 44
30 45 14
12 45 16
3 45 19
33 45 17
11 45 17
18 49 2639
3 49 20
11 49 19
4 49 2099
28 3 26
30 3 18
33 3 20
11 3 21
18 3 19
2 3 29
18 39 11
43 39 8
9 39 53
11 39 13
27 39 18
36 39 7
11 13 21
14 13 20
36 18 11
2 18 25
11 18 17
5 18 17
28 18 23
48 18 18
38 18 35
16 18 1808
33 18 17
43 18 12
17 18 2500
2 11 41
28 11 126
32 11 2311
36 11 13
30 11 2080
38 11 38
17 11 15
33 11 19
5 11 22
36 5 14
33 5 19
3 5 21
16 25 9
36 2 21
12 2 5618
19 38 71
7 38 33
48 33 382
28 33 24
4 30 21
29 30 16
28 30 27
18 30 2748
5 40 15
9 40 30
36 40 9
36 43 8
7 6 97
9 17 28
11 50 10
4 14 18
33 36 39
28 36 19
